coeficienteA, coeficienteB, terminoIndependienteC, coeficienteD, coeficienteE, terminoIndependienteF, variableX, variableY
2.0,1.0,3.0,4.0,8.0,6.0,23.5,11.0
2.0,7.0,8.0,5.0,8.0,7.0,66.57894736842105,16.105263157894736
4.0,3.0,6.0,4.0,5.0,7.0,27.375,25.0
3.0,9.0,5.0,6.0,6.0,8.0,32.0,24.833333333333332
7.0,3.0,6.0,4.0,6.0,7.0,35.3,48.2
8.0,4.0,3.0,9.0,8.0,5.0,23.285714285714285,39.035714285714285
3.0,5.0,7.0,4.0,3.0,2.0,21.90909090909091,8.545454545454545
8.0,4.0,5.0,6.0,7.0,7.0,34.125,55.0625
9.0,3.0,7.0,6.0,5.0,4.0,34.55555555555556,34.44444444444444
1.0,9.0,8.0,4.0,8.0,3.0,64.96428571428571,4.142857142857142
2.0,9.0,4.0,8.0,7.0,2.0,28.310344827586206,4.551724137931035
8.0,4.0,8.0,8.0,9.0,7.0,71.3,54.4
9.0,5.0,8.0,3.0,7.0,6.0,55.375,53.5
9.0,3.0,6.0,8.0,5.0,6.0,29.142857142857142,51.714285714285715
3.0,7.0,7.0,5.0,6.0,9.0,45.705882352941174,29.058823529411764
7.0,4.0,3.0,5.0,8.0,6.0,23.333333333333332,41.583333333333336
5.0,7.0,8.0,5.0,6.0,4.0,53.6,28.0
6.0,8.0,9.0,5.0,6.0,7.0,68.0,53.25
4.0,5.0,9.0,4.0,3.0,9.0,32.625,40.5
7.0,9.0,0.0,6.0,4.0,5.0,1.7307692307692308,35.0
