CoeficienteA;CoeficienteB;TerminoIndependienteC;CoeficienteD;CoeficienteE;TerminoIndependienteF; VariableX; VariableY
2;1;3;4;8;6;23.5;11.0
2;7;8;5;8;7;66.58;16.11
4;3;6;4;5;7;27.38;25.0
3;9;5;6;6;8;32.0;24.83
7;3;6;4;6;7;35.3;48.2
8;4;3;9;8;5;23.29;39.04
3;5;7;4;3;2;21.91;8.55
8;4;5;6;7;7;34.12;55.06
9;3;7;6;5;4;34.56;34.44
1;9;8;4;8;3;64.96;4.14
2;9;4;8;7;2;28.31;4.55
8;4;8;8;9;7;71.3;54.4
9;5;8;3;7;6;55.38;53.5
9;3;6;8;5;6;29.14;51.71
3;7;7;5;6;9;45.71;29.06
7;4;3;5;8;6;23.33;41.58
5;7;8;5;6;4;53.6;28.0
6;8;9;5;6;7;68.0;53.25
4;5;9;4;3;9;32.62;40.5
7;9;0;6;4;5;1.73;35.0
56;78;78;54;52;23;4057.38;1291.24
